State,District,Theft_2017,Theft_2018,Theft_2019,RegisteredUsers_2017,RegisteredUsers_2018,TransactionVolume_2018,RegisteredUsers_2019,TransactionVolume_2019
Andhra Pradesh,Chittoor,998.0,801.0,909.0,309541.0,812314.0,7479677.0,1270907.0,31918890.0
Andhra Pradesh,East Godavari,960.0,763.0,794.0,350356.0,839277.0,8445281.0,1329664.0,25962449.0
Andhra Pradesh,Guntur,1453.0,1202.0,1327.0,317065.0,802394.0,6363182.0,1289678.0,26555462.0
Andhra Pradesh,Krishna,3291.0,2545.0,2425.0,323673.0,833694.0,7325017.0,1331602.0,32000329.0
Andhra Pradesh,Visakhapatnam,1475.0,1158.0,897.0,497187.0,1174517.0,11083658.0,1763581.0,61686425.0
Bihar,Gaya,1423.0,1440.0,1544.0,91015.0,245773.0,2200582.0,398678.0,4848181.0
Bihar,Madhubani,466.0,427.0,643.0,66664.0,195036.0,1294505.0,328630.0,3186481.0
Bihar,Muzaffarpur,2731.0,3049.0,2952.0,125298.0,309416.0,2789424.0,498548.0,5950126.0
Bihar,Patna,5445.0,6635.0,8040.0,425009.0,964432.0,9464518.0,1397342.0,51956124.0
Bihar,Purbi Champaran,1024.0,1231.0,1455.0,87561.0,252394.0,1904136.0,431458.0,4468397.0
Bihar,Samastipur,527.0,636.0,721.0,76068.0,204544.0,1469219.0,334935.0,3174321.0
Gujarat,Ahmadabad,3358.0,2993.0,3052.0,572811.0,1450100.0,9836304.0,2185983.0,49886270.0
Gujarat,Surat,2179.0,2390.0,3520.0,489852.0,1180819.0,6419303.0,1772703.0,15766654.0
Gujarat,Vadodara,1420.0,1042.0,904.0,205722.0,502520.0,2737728.0,763969.0,8689295.0
Karnataka,Belagavi,528.0,570.0,447.0,140320.0,412265.0,1950176.0,746925.0,9868793.0
Karnataka,Bengaluru,11646.0,10199.0,8587.0,2010323.0,5270354.0,73400744.0,8020185.0,477247267.0
Kerala,Malappuram,191.0,232.0,198.0,86063.0,206857.0,1278235.0,387405.0,2827780.0
Maharashtra,Ahmednagar,1791.0,2203.0,2938.0,197473.0,532651.0,3124695.0,905962.0,10582322.0
Maharashtra,Jalgaon,984.0,1177.0,1249.0,156359.0,383547.0,2264291.0,605036.0,6064767.0
Maharashtra,Mumbai,34211.0,47202.0,40168.0,233538.0,670094.0,16099736.0,1054509.0,42453186.0
Maharashtra,Nagpur,10135.0,7319.0,6541.0,280007.0,765612.0,4485636.0,1251510.0,21995879.0
Maharashtra,Nashik,2055.0,2062.0,2133.0,321402.0,853648.0,4827727.0,1448324.0,23973691.0
Maharashtra,Pune,11303.0,9038.0,7791.0,1211643.0,3038402.0,27971449.0,4802397.0,226916267.0
Maharashtra,Solapur,2020.0,2337.0,2507.0,190033.0,505662.0,3332736.0,821512.0,10132935.0
Maharashtra,Thane,4030.0,4176.0,3578.0,631864.0,1834051.0,9826284.0,2878073.0,39183188.0
Uttar Pradesh,Agra,3017.0,3024.0,2528.0,148387.0,392222.0,1897667.0,668251.0,5821816.0
Uttar Pradesh,Azamgarh,513.0,441.0,423.0,68976.0,203791.0,1292406.0,334030.0,2761441.0
Uttar Pradesh,Bareilly,1136.0,1085.0,1037.0,112369.0,279714.0,2019928.0,452872.0,4550886.0
Uttar Pradesh,Ghaziabad,3902.0,4693.0,4123.0,329683.0,859583.0,6214716.0,1296464.0,23365619.0
Uttar Pradesh,Gorakhpur,1344.0,1317.0,1096.0,132769.0,336196.0,2251775.0,539316.0,5406501.0
Uttar Pradesh,Jaunpur,582.0,595.0,681.0,78930.0,229957.0,1571188.0,376245.0,3407879.0
Uttar Pradesh,Kanpur Nagar,2020.0,1701.0,1380.0,208389.0,511583.0,3308373.0,788847.0,11089415.0
Uttar Pradesh,Lucknow,4974.0,4209.0,3183.0,380070.0,896208.0,6596093.0,1329098.0,45262941.0
Uttar Pradesh,Moradabad,965.0,756.0,707.0,57057.0,149856.0,919643.0,257312.0,2062728.0
Uttar Pradesh,Muzaffarnagar,705.0,584.0,454.0,56136.0,146672.0,869083.0,253057.0,1953211.0
Uttar Pradesh,Prayagraj,2255.0,2370.0,2130.0,220198.0,532230.0,4127906.0,816436.0,10991559.0
Uttar Pradesh,Sitapur,772.0,623.0,655.0,39869.0,125826.0,2152935.0,223690.0,2090826.0
Rajasthan,Jaipur,699.0,729.0,1165.0,900773.0,2060175.0,17818081.0,2966508.0,127297935.0
Tamil Nadu,Chennai,4158.0,3891.0,3618.0,292004.0,830586.0,20270865.0,1340762.0,49990185.0
West Bengal,East Bardhaman,387.0,316.0,316.0,119528.0,340321.0,6247113.0,535655.0,21983040.0
West Bengal,East Medinipur,542.0,452.0,452.0,131380.0,389583.0,5611731.0,632173.0,10657092.0
West Bengal,Hooghly,569.0,390.0,390.0,148033.0,480952.0,5737808.0,755631.0,13099483.0
West Bengal,Howrah,1289.0,1192.0,1192.0,136589.0,410583.0,3644687.0,654600.0,8655694.0
West Bengal,Kolkata,3493.0,2608.0,2608.0,306503.0,868126.0,14679383.0,1336585.0,61291479.0
West Bengal,Murshidabad,601.0,398.0,398.0,187824.0,478812.0,9021522.0,830132.0,14965007.0
West Bengal,Nadia,611.0,636.0,636.0,136396.0,385179.0,6616361.0,633794.0,9990645.0
West Bengal,West Medinipur,792.0,724.0,724.0,127203.0,361979.0,5361363.0,572195.0,10060782.0
