State,District,Theft_2017,Theft_2018,Theft_2019,RegisteredUsers_2017,RegisteredUsers_2018,TransactionVolume_2018,RegisteredUsers_2019,TransactionVolume_2019,Population_2011,size_group
Andhra Pradesh,Anantapur,455.0,370.0,422.0,241192.0,612162.0,5677293.0,971850.0,19124004.0,4081148.0,4.0
Andhra Pradesh,Chittoor,998.0,801.0,909.0,309541.0,812314.0,7479677.0,1270907.0,31918890.0,4174064.0,4.0
Andhra Pradesh,East Godavari,960.0,763.0,794.0,350356.0,839277.0,8445281.0,1329664.0,25962449.0,5154296.0,4.0
Andhra Pradesh,Guntur,1453.0,1202.0,1327.0,317065.0,802394.0,6363182.0,1289678.0,26555462.0,4887813.0,4.0
Andhra Pradesh,Krishna,3291.0,2545.0,2425.0,323673.0,833694.0,7325017.0,1331602.0,32000329.0,4517398.0,4.0
Andhra Pradesh,Kurnool,489.0,386.0,398.0,240133.0,599422.0,7077781.0,936293.0,20230348.0,4053463.0,4.0
Andhra Pradesh,Prakasam,518.0,540.0,549.0,189949.0,474260.0,4287261.0,748655.0,13897833.0,3397448.0,4.0
Andhra Pradesh,Spsr Nellore,833.0,760.0,607.0,194475.0,491908.0,4435953.0,775440.0,16503474.0,,
Andhra Pradesh,Srikakulam,102.0,116.0,152.0,143839.0,345775.0,3345479.0,552007.0,10814909.0,,
Andhra Pradesh,Visakhapatnam,1475.0,1158.0,897.0,497187.0,1174517.0,11083658.0,1763581.0,61686425.0,4290589.0,4.0
Andhra Pradesh,Vizianagaram,191.0,175.0,229.0,128905.0,313334.0,3307497.0,490683.0,11930376.0,2344474.0,3.0
Andhra Pradesh,West Godavari,870.0,767.0,914.0,213335.0,523372.0,4482887.0,843835.0,13007531.0,3936966.0,4.0
Andhra Pradesh,Ysr,520.0,427.0,338.0,186800.0,460590.0,4468146.0,717865.0,13548224.0,,
Arunachal Pradesh,Anjaw,5.0,7.0,4.0,278.0,934.0,293.0,1747.0,14236.0,21167.0,1.0
Arunachal Pradesh,Changlang,26.0,13.0,18.0,1208.0,5210.0,33373.0,11262.0,99401.0,148226.0,1.0
Arunachal Pradesh,Dibang Valley,1.0,0.0,0.0,66.0,211.0,139.0,320.0,669.0,8004.0,1.0
Arunachal Pradesh,East Kameng,20.0,25.0,7.0,222.0,876.0,3830.0,1962.0,14457.0,78690.0,1.0
Arunachal Pradesh,East Siang,75.0,84.0,57.0,1803.0,5899.0,33081.0,11298.0,81331.0,99214.0,1.0
Arunachal Pradesh,Kamle,3.0,2.0,2.0,22.0,141.0,366.0,373.0,2481.0,,
Arunachal Pradesh,Kra Daadi,0.0,0.0,0.0,88.0,350.0,1640.0,701.0,7534.0,,
Arunachal Pradesh,Kurung Kumey,7.0,1.0,2.0,97.0,385.0,866.0,725.0,5089.0,92076.0,1.0
Arunachal Pradesh,Lepa Rada,0.0,1.0,3.0,210.0,710.0,2254.0,1532.0,10804.0,,
Arunachal Pradesh,Lohit,29.0,26.0,11.0,1207.0,4416.0,36572.0,8454.0,88375.0,145726.0,1.0
Arunachal Pradesh,Longding,17.0,6.0,5.0,256.0,1152.0,18824.0,2201.0,35318.0,,
Arunachal Pradesh,Lower Dibang Valley,9.0,7.0,14.0,601.0,2314.0,10234.0,4650.0,30914.0,54080.0,1.0
Arunachal Pradesh,Lower Siang,7.0,8.0,7.0,270.0,1123.0,9092.0,2201.0,19332.0,,
Arunachal Pradesh,Lower Subansiri,13.0,21.0,8.0,498.0,1879.0,9224.0,4351.0,31207.0,83030.0,1.0
Arunachal Pradesh,Namsai,29.0,19.0,14.0,737.0,3153.0,16950.0,6029.0,49980.0,,
Arunachal Pradesh,Pakke Kessang,0.0,0.0,1.0,39.0,162.0,519.0,371.0,3403.0,,
Arunachal Pradesh,Papum Pare,266.0,325.0,272.0,7649.0,26298.0,138093.0,51342.0,418586.0,,
Arunachal Pradesh,Shi Yomi,0.0,0.0,0.0,49.0,186.0,61.0,290.0,291.0,,
Arunachal Pradesh,Siang,11.0,4.0,5.0,192.0,651.0,2025.0,1390.0,10332.0,,
Arunachal Pradesh,Tawang,8.0,9.0,8.0,1525.0,5023.0,27600.0,8048.0,83236.0,49977.0,1.0
Arunachal Pradesh,Tirap,14.0,5.0,2.0,557.0,2082.0,11895.0,4261.0,41453.0,111975.0,1.0
Arunachal Pradesh,Upper Siang,7.0,8.0,6.0,301.0,1125.0,1657.0,2143.0,7817.0,35320.0,1.0
Arunachal Pradesh,Upper Subansiri,10.0,16.0,6.0,572.0,1906.0,6307.0,3675.0,25795.0,83448.0,1.0
Arunachal Pradesh,West Kameng,16.0,25.0,23.0,2202.0,8115.0,58718.0,13983.0,192398.0,83947.0,1.0
Arunachal Pradesh,West Siang,8.0,11.0,13.0,846.0,2656.0,11616.0,5757.0,40432.0,112274.0,1.0
Assam,Baksa,121.0,153.0,171.0,6082.0,24926.0,172533.0,46215.0,345039.0,950075.0,2.0
Assam,Barpeta,639.0,609.0,742.0,20485.0,67729.0,541412.0,116286.0,1049575.0,1693622.0,3.0
Assam,Biswanath,149.0,131.0,151.0,5164.0,19050.0,129729.0,33906.0,288046.0,,
Assam,Bongaigaon,386.0,433.0,329.0,9724.0,29773.0,184202.0,51420.0,395850.0,738804.0,1.0
Assam,Cachar,733.0,1023.0,1096.0,19567.0,64241.0,451497.0,111470.0,900968.0,1736617.0,3.0
Assam,Charaideo,80.0,51.0,88.0,4366.0,15161.0,106198.0,26316.0,223997.0,,
Assam,Chirang,144.0,123.0,88.0,3487.0,11867.0,65927.0,21489.0,160952.0,482162.0,1.0
Assam,Darrang,319.0,203.0,215.0,8050.0,27070.0,187273.0,45755.0,335222.0,928500.0,2.0
Assam,Dhemaji,147.0,166.0,177.0,6623.0,24052.0,146436.0,43124.0,330098.0,686133.0,1.0
Assam,Dhubri,689.0,646.0,907.0,11421.0,36652.0,260150.0,62477.0,480758.0,1949258.0,3.0
Assam,Dibrugarh,477.0,556.0,710.0,21182.0,62656.0,359187.0,104663.0,835663.0,1326335.0,2.0
Assam,Dima Hasao,0.0,46.0,46.0,2245.0,7915.0,44145.0,14831.0,141529.0,214102.0,1.0
Assam,Goalpara,265.0,379.0,348.0,10420.0,33006.0,224711.0,56285.0,471010.0,1008183.0,2.0
Assam,Golaghat,394.0,599.0,388.0,10102.0,34918.0,192818.0,62401.0,437723.0,1066888.0,2.0
Assam,Hailakandi,132.0,142.0,227.0,5700.0,20697.0,109195.0,36398.0,228733.0,659296.0,1.0
Assam,Hojai,207.0,232.0,181.0,7571.0,23708.0,136650.0,41444.0,304947.0,,
Assam,Jorhat,666.0,577.0,587.0,16442.0,48594.0,276580.0,78731.0,607779.0,1092256.0,2.0
Assam,Kamrup,528.0,811.0,822.0,15241.0,54910.0,397714.0,95973.0,854236.0,1517542.0,3.0
Assam,Karbi Anglong,128.0,214.0,170.0,5694.0,20131.0,123796.0,35507.0,303580.0,956313.0,2.0
Assam,Karimganj,259.0,274.0,378.0,7367.0,29208.0,154401.0,54439.0,352020.0,1228686.0,2.0
Assam,Kokrajhar,310.0,263.0,273.0,6566.0,21029.0,137341.0,36818.0,286233.0,887142.0,2.0
Assam,Lakhimpur,265.0,183.0,340.0,8143.0,31154.0,192588.0,56008.0,418535.0,1042137.0,2.0
Assam,Majuli,16.0,14.0,15.0,1274.0,4861.0,35075.0,8656.0,68943.0,,
Assam,Marigaon,257.0,389.0,353.0,7193.0,26319.0,484997.0,59197.0,542387.0,957423.0,2.0
Assam,Nagaon,718.0,728.0,744.0,19619.0,66306.0,749827.0,129371.0,1043342.0,,
Assam,Nalbari,274.0,263.0,260.0,6874.0,24925.0,148121.0,44217.0,313556.0,771639.0,1.0
Assam,Sivasagar,331.0,366.0,463.0,8292.0,28059.0,156223.0,49024.0,361318.0,1151050.0,2.0
Assam,Sonitpur,419.0,501.0,399.0,18986.0,62218.0,416370.0,105050.0,946185.0,1924110.0,3.0
Assam,South Salmara Mancachar,94.0,93.0,70.0,2420.0,8674.0,66040.0,16486.0,142091.0,,
Assam,Tinsukia,745.0,672.0,709.0,15998.0,51108.0,326051.0,86763.0,716548.0,1327929.0,2.0
Assam,Udalguri,197.0,157.0,225.0,4768.0,19336.0,134268.0,35735.0,255166.0,831668.0,2.0
Bihar,Araria,342.0,401.0,530.0,30576.0,95297.0,617576.0,168149.0,1379411.0,,
Bihar,Arwal,131.0,163.0,218.0,11087.0,32098.0,245956.0,51903.0,631699.0,700843.0,1.0
Bihar,Aurangabad,208.0,284.0,412.0,42349.0,123845.0,896125.0,204230.0,2275859.0,3701282.0,4.0
Bihar,Banka,212.0,255.0,355.0,19504.0,62041.0,308399.0,108516.0,742828.0,2034763.0,3.0
Bihar,Begusarai,567.0,601.0,643.0,57409.0,155497.0,889100.0,251505.0,2050279.0,,
Bihar,Bhagalpur,1102.0,1007.0,1180.0,76063.0,195057.0,1322527.0,311744.0,2864737.0,3037766.0,4.0
Bihar,Bhojpur,647.0,818.0,868.0,50363.0,143568.0,855146.0,230828.0,2011687.0,,
