dist_code,district
555N002,ALLURI SITHARAMA RAJU
544N001,ANAKAPALLI
553,ANANTHAPURAMU
555N005,ANNAMAYYA
555N004,BAPATLA
554,CHITTOOR
545N002,DR.B.R.AMBEDKAR KONASEEMA
545,EAST GODAVARI
555N003,ELURU
548,GUNTUR
545N001,KAKINADA
547,KRISHNA
552,KURNOOL
552N001,NANDYAL
547N001,NTR
548N001,PALNADU
555N001,PARVATHIPURAM MANYAM
549,PRAKASAM
550,SRI POTTI SRIRAMULU NELLORE
553N001,SRI SATHYA SAI
542,SRIKAKULAM
555N006,TIRUPATI
544,VISAKHAPATNAM
543,VIZIANAGARAM
546,WEST GODAVARI
634,YANAM
551,YSR KADAPA
638,NICOBARS
639,NORTH AND MIDDLE ANDAMAN
640,SOUTH ANDAMANS
628,>NJ>W
229,CH>NGL>NG
2301,DIB>NG VALLEY
231,EAST KAMENG
232,EAST SIANG
233,KURUNG KUMEY
235,LOWER DIB>NG VALLEY
237,PAPUMPARE
238,TAWANG
239,TIR>P
240,UPPER SIANG
241,UPPER SUBANSIRI
242,WEST KAMENG
725,SHI YOMI
678,NAMSAI
243,WEST SIANG
679,SIANG
666,LONGDING
723,PAKKE KESSANG
719,LOWER SIANG
724,LEPA RADA
NOT AVAILABLE,BICHOM
677,KRA DAADI
718,KAMLE
NOT AVAILABLE,KEYI PANYOR
236,LOWER SUBANSIRI
294,KOKRAJHAR
612,CHIRANG
617,UDALGURI
616,BAKSA
285,DHUBRI
283,DARANG
292,KARBI ANGLONG
299,DIMA HASAO
282,CACHAR
293,KARIMGANJ
289,HAILAKANDI
710,WEST KARBI ANGLONG
290,JORHAT
288,GOLAGHAT
301,SONITPUR
284,DHEMAJI
708,CHARAIDEO
302,TINSUKIA
295,LAKHIMPUR
706,MAJULI
300,SIBSAGAR
297,NAGAON
296,MARIGAON
618,KAMRUP METRO
298,NALBARI
287,GOALPARA
281,BONGAIGAON
291,KAMRUP RURAL
NOT AVAILABLE,DIBRUGARH
NOT AVAILABLE,HOJAI
616,TAMULPUR
705,BISWANATH
NOT AVAILABLE,BARPETA
NOT AVAILABLE,BAJALI
707,SOUTH SALMARA MANCACHAR
188,ARARIA
611,ARWAL
189,AURANGABAD
190,BANKA
191,BEGUSARAI
192,BHAGALPUR
193,BHOJPUR
194,BUXAR
195,DARBHANGA
196,GAYA
197,GOPALGANJ
239,JAHANABAD
198,JAMUI
200,KAIMUR
201,KATIHAR
202,KHAGARIA
203,KISHANGANJ
204,LAKHISARAI
205,MADHEPURA
206,MADHUBANI
207,MUNGER
208,MUZAFFARPUR
209,NALANDA
210,NAWADA
211,PASHCHIMI CHAMPARAN
230,PATNA
213,PURBI CHAMPARAN
214,PURNIA
215,ROHTAS
216,SAHARSA
217,SAMASTIPUR
218,SARAN
219,SHEIKHPURA
220,SHEOHAR
221,SITAMARHI
222,SIWAN
223,SUPAUL
224,VAISHALI
382,KAWARDHA (KABIRDHAM)
734,GAURELA-PENDRA-MARWAHI
648,SURAJPUR
649,BALRAMPUR
647,MUNGELI
376,DAKSHIN BASTAR DANTEWARA
417,BIJAPUR
414,BASTAR
642,SUKMA
643,KONDAGAON
637,NARAYANPUR
413,UTTAR BASTAR KANKER
645,GARIYABAND
412,DHAMTARI
646,BALOD
385,MAHASAMUND
378,DURG
387,RAIPUR
650,BEMETARA
406,BILASPUR
404,KORBA
402,JASHPUR
401,SURGUJA
759,KHAIRGARH-CHHUIKHADAN-GANDAI
388,RAJNANDGAON
761,MOHLA-MANPUR-AMBAGARH CHOWKI
379,JANJGIR - CHAMPA
762,SAKTI
403,RAIGARH
384,KOREA
760,MANENDRAGARH-CHIRMIRI-BHARATPUR
386,SARANGARH-BILAIGARH
644,BALODA BAZAR
95,NAZUL
97,SOUTH WEST
96,WEST
95,CENTRAL
093,EAST
94,NEW DELHI
91,NORTH
671,SHAHADARA
92,NORTH EAST
670,SOUTH EAST
98,SOUTH
90,NORTH WEST
585,NORTH GOA
586,SOUTH GOA
496,DADRA AND NAGAR HAVELI
495,DAMAN
494,DIU
474,AHMADABAD
480,AMRELI
482,ANAND
672,ARVALLI
469,BANAS KANTHA
488,BHARUCH
481,BHAVNAGAR
676,BOTAD
668,CHHOTAUDEPUR
485,DAHOD
489,DANGS
674,DEVBHUMI DWARKA
473,GANDHINAGAR
675,GIR SOMNATH
NOT AVAILABLE,ISLAND
477,JAMNAGAR
479,JUNAGADH
468,KACHCHH
483,KHEDA
471,MAHESANA
669,MAHISAGAR
673,MORBI
487,NARMADA
490,NAVSARI
484,PANCH MAHALS
470,PATAN
478,PORBANDAR
476,RAJKOT
472,SABAR KANTHA
492,SURAT
475,SURENDRANAGAR
493,TAPI
486,VADODARA
491,VALSAD
70,AMBALA
81,BHIWANI
081N001,CHARKI DADRI
88,FARIDABAD
78,FATEHABAD
86,GURUGRAM
80,HISAR
83,JHAJJAR
77,JIND
73,KAITHAL
74,KARNAL
72,KURUKSHETRA
84,MAHENDRAGARH
87,NUH
89,PALWAL
69,PANCHKULA
75,PANIPAT
85,REWARI
82,ROHTAK
79,SIRSA
76,SONIPAT
71,YAMUNANAGAR
30,BIL>SPUR
33,SHIMLA
34,KINNAUR
31,SOLAN
32,SIRMAUR
26,KULLU
23,CHAMBA
27,MANDI
24,K>NGRA
28,HAM|RPUR
29,UNA
25,LAHUL & SPITI
NOT AVAILABLE,MIRPUR
NOT AVAILABLE,MUZAFFARABAD
10,PUNCH
1,ANANTNAG
3,BARAMULA
7,KATHUA
14,UDHAMPUR
2,BADGAM
623,BANDIPURA
626,GANDERBAL
622,KULGAM
8,KUPWARA
11,PULWAMA
12,RAJAURI
621,RAMBAN
627,RIASI
625,SHUPIYAN
13,SRINAGAR
620,KISHTWAR
04,DODA
624,SAMBA
5,JAMMU
,
346,GARHWA
347,CHATRA
348,KODERMA
349,GIRIDIH
350,DEOGHAR
351,GODDA
352,SAHIBGANJ
353,PAKUR
354,DHANBAD
355,BOKARO
356,LOHARDAGA
357,EAST SINGHBHUM
358,PALAMU
359,LATEHAR
360,HAZARIBAGH
361,RAMGARH
362,DUMKA
363,JAMTARA
364,RANCHI
365,KHUNTI
366,GUMLA
367,SIMDEGA
368,WEST SINGHBHUM
369,SARAIKELA-KHARSAWAN
0556,B
0583,Bengal#ru (Rural)
0555,Belag
0570,Chikkamagal#ru
0565,Ball
0578,Ch
0566,Chitradurga
0560,Koppal
0738,Vijayanagara
0559,Raich#r
0582,Chikkaball
0567,D
0562,Dh
0561,Gadag
0564,H
0574,H
0579,Kalaburagi
0572,Bengal#ru (Urban)
0581,Kol
0573,Mandya
0577,Mys#ru
0568,Shivamogga
0575,Dakshina Kannada
0563,Uttara Kannada
0557,Vijayapura
0580,Y
0584,R
593,Palakkad
598,Alappuzha
597,Kottayam
600,Kollam
591,Kozhikode
588,Kasaragod
592,Malappuram
590,Wayanad
599,Pathanamthitta
596,Idukki
594,Thrissur
595,Ernakulam
601,Thiruvananthapuram
589,Kannur
9,LEH
6,KARGIL
436N001,AGAR MALWA
465,ALIRAJPUR
461,ANUPPUR
459,ASHOKNAGAR
457,BALAGHAT
441,BARWANI
447,BETUL
420,BHIND
444,BHOPAL
467,BURHANPUR
425,CHHATARPUR
455,CHHINDWARA
428,DAMOH
437,DEWAS
438,DHAR
453,DINDORI
458,GUNA
421,GWALIOR
448,HARDA
439,INDORE
451,JABALPUR
464,JHABUA
450,KATNI
466,KHANDWA
440,KHARGONE
768,MAIHAR
454,MANDLA
433,MANDSAUR
766,MAUGANJ
419,MORENA
449,NARMADAPURAM
452,NARSINGHPUR
432,NEEMUCH
424N001,NIWARI
767,PANDHURNA
426,PANNA
446,RAISEN
442,RAJGARH
434,RATLAM
430,REWA
427,SAGAR
429,SATNA
445,SEHORE
456,SEONI
460,SHAHDOL
436,SHAJAPUR
418,SHEOPUR
423,SHIVPURI
463,SINGRAULI
424,TIKAMGARH
435,UJJAIN
431,UMARIA
443,VIDISHA
522,AHMEDNAGAR
523,BEED
506,BHANDARA
509,CHANDRAPUR
498,DHULE
508,GADCHIROLI
507,GONDIA
512,HINGOLI
499,JALGAON
530,KOLHAPUR
524,LATUR
519,MUMBAI
505,NAGPUR
511,NANDED
516,NASHIK
497,NANDURBAR
NOT AVAILABLE,PALGHAR
521,PUNE
520,RAIGARH
528,RATNAGIRI
531,SANGLI
527,SATARA
529,SINDHUDURG
526,SOLAPUR
518,MUMBAI SUBURBAN
517,THANE
525,DHARASHIV
502,WASHIM
504,WARDHA
510,YAVATMAL
501,AKOLA
503,AMRAVATI
500,BULDHANA
513,PARBHANI
514,JALNA
515,CHHATRAPATI SAMBHAJINAGAR
252,BISHNUPUR
253,CHANDEL
254,CHURACHANDPUR
255,IMPHAL EAST
256,IMPHAL WEST
713,JIRIBAM
711,KAKCHING
717,KAMJANG
712,KANGPOKPI
714,NONEY
715,PHERZAWL
257,SENAPATI
258,TAMENGLONG
716,TENGNOUPAL
259,THOUBAL
260,UKHRUL
273,EAST G>RO HILLS
657,EAST JAINTIA HILLS
274,EAST KH>SI HILLS
656,NORTH G>RO HILLS
276,RI-BHOI
277,SOUTH G>RO HILLS
663,SOUTH WEST G>RO HILLS
278,WEST G>RO HILLS
275,WEST JAINTIA HILLS
658,SOUTH WEST KH>SI HILLS
740,EASTERN WEST KHASI HILLS
279,WEST KHASI HILLS
262,CHAMPHAI
726,HNAHTHIAL
268,SERCHHIP
265,LUNGLEI
266,MAMIT
263,KOLASIB
261,AIZAWL
267,SAIHA
727,SAITUAL
264,LAWNGTLAI
NOT AVAILABLE,LONGLENG
NOT AVAILABLE,TUENSANG
NOT AVAILABLE,SHAMATOR
NOT AVAILABLE,DIMAPUR
NOT AVAILABLE,CHUMOUKEDIMA
NOT AVAILABLE,NIULAND
NOT AVAILABLE,PEREN
NOT AVAILABLE,KOHIMA
NOT AVAILABLE,MON
NOT AVAILABLE,KIPHIRE
NOT AVAILABLE,PHEK
NOT AVAILABLE,MOKOKCHUNG
NOT AVAILABLE,ZUNHEBOTO
NOT AVAILABLE,WOKHA
NOT AVAILABLE,TSEMINYU
NOT AVAILABLE,NOKLAK
637,KARAIKAL
636,MAHE
635,PUDUCHERRY
31,FIROZPUR
36,LUDHIANA
42,RUPNAGAR
37,MANSA
39,SRI MUKTSAR SAHIB
608,SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR)
34,JALANDHAR
662,PATHANKOT
29,FARIDKOT
38,MOGA
33,HOSHIARPUR
28,BATHINDA
609,TARN TARAN
651,FAZILKA
41,PATIALA
40,SHAHID BHAGAT SINGH NAGAR
605,BARNALA
32,GURDASPUR
35,KAPURTHALA
30,FATEHGARH SAHIB
27,AMRITSAR
737,MALER KOTLA
43,SANGRUR
119,AJMER
104,ALWAR
099N001,ANOOPGARH
115N001,BALOTRA
125,BANSWARA
128,BARAN
115,BARMER
131N006,BEAWAR
105,BHARATPUR
122,BHILWARA
101,BIKANER
121,BUNDI
126,CHITTAURGARH
102,CHURU
109,DAUSA
105N001,DEEG
106,DHAULPUR
112N001,DIDWANA-KUCHAMAN
110N002,DUDU
124,DUNGARPUR
99,GANGANAGAR
131N003,GANGAPURCITY
100,HANUMANGARH
110,JAIPUR
110N001,JAIPUR(GRAMIN)
114,JAISALMER
116,JALOR
129,JHALAWAR
103,JHUNJHUNUN
113,JODHPUR
113N001,JODHPUR GRAMIN
107,KARAULI
131N005,KEKRI
104N001,KHAIRTHAL-TIJARA
127,KOTA
131N002,KOTPUTLI-BEHROR
112,NAGAUR
131N001,NEEM-KA-THANA
118,PALI
131N004,PHALODI
131,PRATAPGARH
130N002,RAJSAMAND
130N001,SALUMBAR
116N001,SANCHORE
108,SAWAI MADHOPUR
122N001,SHAHPURA
111,SIKAR
117,SIROHI
120,TONK
130,UDAIPUR
242,GYALSHING
741,PAKYONG
243,NAMCHI
241,MANGAN
244,GANGTOK
742,SORENG
616,ARIYALUR
633N001,CHENGALPATTU
602,CHENNAI
632,COIMBATORE
617,CUDDALORE
630,DHARMAPURI
612,DINDIGUL
610,ERODE
633N004,KALLAKKURICHI
604,KANCHIPURAM
629,KANNIYAKUMARI
613,KARUR
631,KRISHNAGIRI
623,MADURAI
618,MAYILADUTHURAI
618,NAGAPATTINAM
609,NAMAKKAL
615,PERAMBALUR
621,PUDUKKOTTAI
626,RAMANATHAPURAM
633N002,RANIPET
608,SALEM
622,SIVAGANGA
633N005,TENKASI
620,THANJAVUR
611,THE NILGIRIS
624,THENI
602,THIRUVALLUR
619,THIRUVARUR
627,THOOTHUKUDI
614,TIRUCHIRAPPALLI
628,TIRUNELVELI
633N003,TIRUPATHUR
633,TIRUPPUR
606,TIRUVANNAMALAI
605,VELLORE
607,VILUPPURAM
625,VIRUDHUNAGAR
532,ADILABAD
541N001,BHADRADRI KOTHAGUDEM
542N003,HANUMAKONDA
536,HYDERABAD
534N002,JAGTIAL
540N001,JANGOAN
542N006,JAYASHANKAR BHUPALPALLI
538N002,JOGULAMBA GADWAL
533N001,KAMAREDDY
534,KARIMNAGAR
541,KHAMMAM
532N001,KOMARRAM BHEEM
542N004,MAHABUBABAD
538,MAHABUBNAGAR
532N002,MANCHERIAL
535,MEDAK
542N008,MEDCHAL_MALKAJGIRI
542N005,MULUGU
538N003,NAGARKURNOOL
539,NALGONDA
538N004,NARAYANPET
532N003,NIRMAL
533,NIZAMABAD
534N001,PEDDAPALLI
542N001,RAJANNA SIRCILLA
537,RANGA REDDY
535N001,SANGAREDDY
542N002,SIDDIPET
539N002,SURIYAPET
542N007,VIKARABAD
538N001,WANPARTI
540,WARANGAL
539N001,YADADRI BHUVANAGIRI
271,SOUTH TRIPURA
272,WEST TRIPURA
269,DHALAI
652,KHOWAI
655,UNAKOTI
270,NORTH TRIPURA
653,SEPAHIJALA
654,GOMTI
46,B>GESHWAR
48,CHAMP>WAT
50,HARIDW>R
51,NAINIT>L
52,PAURI GARHW>L
54,RUDRAPRAY>G
55,TEHRI GARHW>L
56,UDHAM SINGH NAGAR
47,CHAMOLI
53,PITHOR>GARH
57,UTTARK>SHI
333,MURSHID>B>D
