District,HASC
Adilabad,IN.TG.AD
Agar Malwa,IN.MP.AM
Agra,IN.UP.AG
Ahmedabad,IN.GJ.AB
Ahmednagar,IN.MH.AH
Aizawl,IN.MZ.AI
Ajmer,IN.RJ.AJ
Akola,IN.MH.AK
Alappuzha,IN.KL.AL
Aligarh,IN.UP.AL
Alipurduar,IN.WB.AP
Alirajpur,IN.MP.AR
Allahabad,IN.UP.AH
Almora,IN.UT.AL
Alwar,IN.RJ.AL
Ambala,IN.HR.AM
Ambedkar Nagar,IN.UP.AN
Amethi,IN.UP.AM
Amravati,IN.MH.AM
Amreli,IN.GJ.AM
Amritsar,IN.PB.AR
Amroha,IN.UP.JP
Anand,IN.GJ.AN
Anantapur,IN.AD.AN
Anantnag,IN.JK.AG
Angul,IN.OR.AN
Anjaw,IN.AR.AJ
Anuppur,IN.MP.AP
Araria,IN.BR.AR
Aravalli,IN.GJ.AR
Ariyalur,IN.TN.AR
Arwal,IN.BR.AW
Ashoknagar,IN.MP.AN
Auraiya,IN.UP.AU
Aurangabad,IN.BR.AU
Aurangabad,IN.MH.AU
Azamgarh,IN.UP.AZ
Badaun,IN.UP.BA
Badgam,IN.JK.BD
Bagalkot,IN.KA.BK
Bageshwar,IN.UT.BA
Baghpat,IN.UP.BG
Bahraich,IN.UP.BH
Baksa,IN.AS.BK
Balaghat,IN.MP.BL
Baleshwar,IN.OR.BW
Ballia,IN.UP.BL
Balod,IN.CT.BD
Baloda Bazar,IN.CT.BB
Balrampur,IN.CT.BR
Balrampur,IN.UP.BP
Banas Kantha,IN.GJ.BK
Banda,IN.UP.BN
Bandipore,IN.JK.BP
Bangalore,IN.KA.BN
Bangalore Rural,IN.KA.BU
Banka,IN.BR.BA
Bankura,IN.WB.BN
Banswara,IN.RJ.BS
Barabanki,IN.UP.BB
Baragarh,IN.OR.BR
Baramula,IN.JK.BL
Baran,IN.RJ.BR
Bardhaman,IN.WB.BR
Bareilly,IN.UP.BR
Barmer,IN.RJ.BM
Barnala,IN.PB.BL
Barpeta,IN.AS.BP
Barwani,IN.MP.BR
Bastar,IN.CT.BS
Basti,IN.UP.BS
Bathinda,IN.PB.BA
Begusarai,IN.BR.BE
Belgaum,IN.KA.BG
Bellary,IN.KA.BL
Bemetara,IN.CT.BM
Betul,IN.MP.BE
Bhadrak,IN.OR.BH
Bhagalpur,IN.BR.BG
