State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Andhra Pradesh,Anantapur,455.0,113.0,241192.0,370.0,114.0,612162.0,5677293.0,422.0,105.0,971850.0,19124004.0,305.0,51.0,2228505.0,180177478.0,237.0,30.0,2619335.0,392060927.0
Andhra Pradesh,Chittoor,411.0,70.0,309541.0,368.0,60.0,812314.0,7479677.0,401.0,68.0,1270907.0,31918890.0,374.0,30.0,2755784.0,262143000.0,428.0,47.0,3214678.0,572861276.0
Andhra Pradesh,East Godavari,1441.0,83.0,350356.0,1171.0,85.0,839277.0,8445281.0,1442.0,73.0,1329664.0,25962449.0,1780.0,76.0,2965296.0,246294864.0,1610.0,71.0,3465605.0,557934634.0
Andhra Pradesh,Guntur,1453.0,132.0,317065.0,1202.0,112.0,802394.0,6363182.0,1327.0,100.0,1289678.0,26555462.0,1936.0,119.0,2900895.0,259878825.0,1734.0,168.0,3382454.0,557253343.0
Andhra Pradesh,Krishna,437.0,35.0,323673.0,390.0,41.0,833694.0,7325017.0,427.0,50.0,1331602.0,32000329.0,1727.0,77.0,2941585.0,282929824.0,1438.0,68.0,3423998.0,596584191.0
Andhra Pradesh,Kurnool,489.0,93.0,240133.0,386.0,88.0,599422.0,7077781.0,398.0,74.0,936293.0,20230348.0,602.0,85.0,2114023.0,158342004.0,455.0,71.0,2484451.0,350587699.0
Andhra Pradesh,Prakasam,518.0,91.0,189949.0,540.0,81.0,474260.0,4287261.0,549.0,48.0,748655.0,13897833.0,538.0,49.0,1719910.0,140091639.0,388.0,48.0,2022873.0,311438753.0
Andhra Pradesh,Spsr Nellore,833.0,67.0,194475.0,760.0,72.0,491908.0,4435953.0,607.0,58.0,775440.0,16503474.0,662.0,54.0,1740294.0,187183056.0,488.0,53.0,2037823.0,344971795.0
Andhra Pradesh,Srikakulam,102.0,30.0,143839.0,116.0,16.0,345775.0,3345479.0,152.0,22.0,552007.0,10814909.0,154.0,23.0,1263204.0,90538455.0,152.0,26.0,1492803.0,197516933.0
Andhra Pradesh,Tirupati,587.0,38.0,0.0,433.0,23.0,0.0,0.0,508.0,26.0,0.0,0.0,762.0,60.0,0.0,0.0,775.0,38.0,0.0,0.0
Andhra Pradesh,Visakhapatnam,1475.0,79.0,497187.0,1158.0,74.0,1174517.0,11083658.0,897.0,72.0,1763581.0,61686425.0,970.0,83.0,3732544.0,390845365.0,828.0,77.0,4349723.0,782746691.0
Andhra Pradesh,Vizianagaram,191.0,28.0,128905.0,175.0,29.0,313334.0,3307497.0,229.0,25.0,490683.0,11930376.0,357.0,28.0,1094782.0,83690232.0,438.0,26.0,1289838.0,183570238.0
Andhra Pradesh,West Godavari,870.0,54.0,213335.0,767.0,52.0,523372.0,4482887.0,914.0,63.0,843835.0,13007531.0,1215.0,46.0,1980446.0,173236379.0,1002.0,54.0,2319971.0,389415589.0
Andhra Pradesh,Ysr,520.0,88.0,186800.0,427.0,65.0,460590.0,4468146.0,338.0,57.0,717865.0,13548224.0,514.0,87.0,1628595.0,131258932.0,412.0,97.0,1905157.0,286399188.0
Arunachal Pradesh,Anjaw,5.0,1.0,278.0,7.0,1.0,934.0,293.0,4.0,0.0,1747.0,14236.0,7.0,1.0,4310.0,114534.0,9.0,0.0,5083.0,272762.0
Arunachal Pradesh,Changlang,26.0,8.0,1208.0,13.0,4.0,5210.0,33373.0,18.0,2.0,11262.0,99401.0,28.0,8.0,32646.0,846653.0,23.0,1.0,39144.0,2629222.0
Arunachal Pradesh,Dibang Valley,1.0,1.0,66.0,0.0,0.0,211.0,139.0,0.0,0.0,320.0,669.0,2.0,0.0,789.0,12812.0,1.0,1.0,950.0,59276.0
Arunachal Pradesh,Kamle,3.0,0.0,22.0,2.0,2.0,141.0,366.0,2.0,1.0,373.0,2481.0,4.0,1.0,1367.0,65385.0,3.0,3.0,1657.0,228930.0
Arunachal Pradesh,Kurung Kumey,7.0,7.0,97.0,1.0,2.0,385.0,866.0,2.0,2.0,725.0,5089.0,7.0,2.0,2091.0,49406.0,5.0,1.0,2483.0,179525.0
