State,Year,Quarter,District,RegisteredUsers,AppOpens,TransactionCount,TransactionAmount
Andaman & Nicobar Islands,2022,1,Nicobars,2081,573782,29177,94414127.64974089
Andaman & Nicobar Islands,2022,1,South Andaman,63487,2368756,705512,1872991195.902684
Andaman & Nicobar Islands,2022,1,North And Middle Andaman,10720,904869,60059,161624878.52274162
Andaman & Nicobar Islands,2022,2,Nicobars,2192,811449,43769,132900618.93062323
Andaman & Nicobar Islands,2022,2,South Andaman,66959,3404740,954875,2357326563.362071
Andaman & Nicobar Islands,2022,2,North And Middle Andaman,11379,963824,72573,195693167.78757268
Andaman & Nicobar Islands,2022,3,Nicobars,2300,1284501,49550,131330400.94545083
Andaman & Nicobar Islands,2022,3,South Andaman,70445,3607286,1455255,2967719400.849909
Andaman & Nicobar Islands,2022,3,North And Middle Andaman,11897,1176567,79574,211581970.34202656
Andaman & Nicobar Islands,2022,4,Nicobars,2389,159232,58646,142355853.97352526
Andaman & Nicobar Islands,2022,4,South Andaman,73692,3881359,1835592,3600887266.099448
Andaman & Nicobar Islands,2022,4,North And Middle Andaman,12361,313502,93297,241431284.3558103
Andaman & Nicobar Islands,2024,1,Nicobars,2965,7368398,166796,305346303.0
Andaman & Nicobar Islands,2024,1,South Andaman,89907,12147903,3751724,5952049462.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman,15539,9022450,266400,601756070.0
Andaman & Nicobar Islands,2024,2,Nicobars,3083,3967538,186672,333687418.0
Andaman & Nicobar Islands,2024,2,South Andaman,93421,6749599,4153251,6285248054.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman,16183,6159746,313301,676844858.0
Andaman & Nicobar Islands,2024,3,Nicobar,7495,3219511,210536,372462759.0
Andaman & Nicobar Islands,2024,3,South Andaman,143250,6545536,4704639,6567147442.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman,21728,9789799,364075,724234808.0
Andaman & Nicobar Islands,2024,4,Nicobar,7698,1395115,232820,401676455.0
Andaman & Nicobar Islands,2024,4,South Andaman,148543,15101583,5419850,7760167334.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman,22547,2194985,411230,759100984.0
Andaman & Nicobar Islands,2023,1,Nicobars,2491,2458822,94127,202062829.0
Andaman & Nicobar Islands,2023,1,South Andaman,77052,5450795,2030078,3867385426.0
Andaman & Nicobar Islands,2023,1,North And Middle Andaman,12941,3103047,152187,392080332.0
Andaman & Nicobar Islands,2023,2,Nicobars,2617,4679790,109568,230192364.0
Andaman & Nicobar Islands,2023,2,South Andaman,80112,6884657,2417058,4297737197.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman,13600,3174229,181149,462414675.0
Andaman & Nicobar Islands,2023,3,Nicobars,2734,7463896,128432,253772173.0
Andaman & Nicobar Islands,2023,3,South Andaman,83305,5950899,2771397,4462201588.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman,14216,7130284,198547,495623030.0
Andaman & Nicobar Islands,2023,4,Nicobars,2817,523637,153587,311527871.0
Andaman & Nicobar Islands,2023,4,South Andaman,86348,7452861,3311962,5417264997.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman,14813,1869462,230234,540759631.0
Andaman & Nicobar Islands,2019,1,Nicobars,622,0,1539,7236059.549389593
Andaman & Nicobar Islands,2019,1,South Andaman,15961,0,25683,85501972.38780196
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,2013,0,3264,9561708.736298349
Andaman & Nicobar Islands,2019,2,Nicobars,693,2953,1828,9111650.82436246
Andaman & Nicobar Islands,2019,2,South Andaman,18621,43569,28490,102530955.71341258
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,2417,6118,3371,8612103.137888122
Andaman & Nicobar Islands,2019,3,Nicobars,751,10853,2300,11566421.475451011
Andaman & Nicobar Islands,2019,3,South Andaman,20518,138190,27421,91023888.32848613
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,2662,22064,4049,11481466.283356793
Andaman & Nicobar Islands,2019,4,Nicobars,803,11113,2600,12384161.52668771
Andaman & Nicobar Islands,2019,4,South Andaman,22202,139646,27843,110930312.20611623
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,2955,26253,4716,13524056.784573946
Andaman & Nicobar Islands,2021,1,Nicobars,1573,45067,10302,39075266.9856904
Andaman & Nicobar Islands,2021,1,South Andaman,48352,837589,207092,669604045.1248703
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,7833,121680,27358,75027255.27919498
Andaman & Nicobar Islands,2021,2,Nicobars,1699,381815,15307,48020606.74716837
Andaman & Nicobar Islands,2021,2,South Andaman,51903,1270226,286907,760893020.5704944
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,8493,596182,39200,90233388.79463302
Andaman & Nicobar Islands,2021,3,Nicobars,1846,591204,20754,74980519.3281361
Andaman & Nicobar Islands,2021,3,South Andaman,55873,1771107,382418,1116789010.6459613
Andaman & Nicobar Islands,2021,3,North And Middle Andaman,9263,759314,46592,118254865.82750683
Andaman & Nicobar Islands,2021,4,Nicobars,1971,77952,24437,81329281.0269996
Andaman & Nicobar Islands,2021,4,South Andaman,59807,1863037,558571,1694794708.0093334
Andaman & Nicobar Islands,2021,4,North And Middle Andaman,10002,171921,53115,156486112.28732437
Andaman & Nicobar Islands,2020,1,Nicobars,879,11613,2911,12099543.773590054
Andaman & Nicobar Islands,2020,1,South Andaman,24174,151529,32713,134679396.90582755
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,3315,30444,5674,14697371.617857102
Andaman & Nicobar Islands,2020,2,Nicobars,984,17009,3895,14341508.60470232
Andaman & Nicobar Islands,2020,2,South Andaman,27626,231071,48088,132855778.74838585
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,4100,56992,10979,22447714.061058953
Andaman & Nicobar Islands,2020,3,Nicobars,1147,21227,5413,22166453.754695386
Andaman & Nicobar Islands,2020,3,South Andaman,34833,417785,95323,282366109.20523936
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,5355,76553,16747,33486883.370425556
Andaman & Nicobar Islands,2020,4,Nicobars,1412,35972,8688,35218871.04342849
Andaman & Nicobar Islands,2020,4,South Andaman,43908,725321,186494,523122462.88302904
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,7076,125915,29349,68941322.38839513
Andaman & Nicobar Islands,2018,1,Nicobars,262,0,528,1139848.801225994
Andaman & Nicobar Islands,2018,1,South Andaman,5846,0,5688,12560249.34366581
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,632,0,442,931663.0770939873
Andaman & Nicobar Islands,2018,2,Nicobars,351,0,1120,3072436.9081196385
Andaman & Nicobar Islands,2018,2,South Andaman,8143,0,9395,23948235.51634325
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,911,0,825,1317863.0834906558
Andaman & Nicobar Islands,2018,3,Nicobars,467,0,1471,6387829.151558982
Andaman & Nicobar Islands,2018,3,South Andaman,10474,0,13511,44268112.46425246
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,1208,0,1283,4901529.518499676
