State,Year,Quarter,District,RegisteredUsers,AppOpens
Andaman & Nicobar Islands,2022,1,North And Middle Andaman District,10720,904869
Andaman & Nicobar Islands,2022,1,South Andaman District,63487,2368756
Andaman & Nicobar Islands,2022,1,Nicobars District,2081,573782
Andaman & Nicobar Islands,2024,1,North And Middle Andaman District,15539,9022450
Andaman & Nicobar Islands,2024,1,South Andaman District,89907,12147903
Andaman & Nicobar Islands,2024,1,Nicobars District,2965,7368398
Andaman & Nicobar Islands,2023,1,North And Middle Andaman District,12941,3103047
Andaman & Nicobar Islands,2023,1,South Andaman District,77052,5450795
Andaman & Nicobar Islands,2023,1,Nicobars District,2491,2458822
Andaman & Nicobar Islands,2019,1,North And Middle Andaman District,2013,0
Andaman & Nicobar Islands,2019,1,South Andaman District,15961,0
Andaman & Nicobar Islands,2019,1,Nicobars District,622,0
Andaman & Nicobar Islands,2021,1,North And Middle Andaman District,7833,121680
Andaman & Nicobar Islands,2021,1,South Andaman District,48352,837589
Andaman & Nicobar Islands,2021,1,Nicobars District,1573,45067
Andaman & Nicobar Islands,2020,1,North And Middle Andaman District,3315,30444
Andaman & Nicobar Islands,2020,1,South Andaman District,24174,151529
Andaman & Nicobar Islands,2020,1,Nicobars District,879,11613
Andaman & Nicobar Islands,2018,1,North And Middle Andaman District,632,0
Andaman & Nicobar Islands,2018,1,South Andaman District,5846,0
Andaman & Nicobar Islands,2018,1,Nicobars District,262,0
Tamil Nadu,2022,1,Tiruchirappalli District,688562,20900419
Tamil Nadu,2022,1,Ramanathapuram District,210698,17777779
Tamil Nadu,2022,1,Krishnagiri District,776101,41868147
Tamil Nadu,2022,1,Cuddalore District,527223,15255170
Tamil Nadu,2022,1,Kancheepuram District,1158719,11803314
Tamil Nadu,2022,1,Tiruppur District,1014036,24784887
Tamil Nadu,2022,1,Dharmapuri District,404709,29735879
Tamil Nadu,2022,1,Thoothukkudi District,327607,16229136
Tamil Nadu,2022,1,Thanjavur District,445883,13460902
Tamil Nadu,2022,1,Madurai District,820952,18688722
Tamil Nadu,2022,1,Tiruvannamalai District,489026,28400548
Tamil Nadu,2022,1,Salem District,905104,31202884
