State,District,Theft_2017,Murder_2017,Cruelty_2017,Theft_2018,Murder_2018,Cruelty_2018,Theft_2019,Murder_2019,Cruelty_2019,Theft_2022,Murder_2022,Cruelty_2022,Theft_2023,Murder_2023,Cruelty_2023
A&N Islands,Nicobar,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A&N Islands,North & Middle Andaman,8.0,3.0,3.0,14.0,2.0,3.0,3.0,2.0,0.0,9.0,2.0,0.0,5.0,1.0,0.0
A&N Islands,South Andaman,38.0,6.0,1.0,53.0,7.0,1.0,28.0,10.0,1.0,15.0,4.0,5.0,60.0,7.0,6.0
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,46.0,29.0,58.0,33.0,29.0,46.0
Andhra Pradesh,Anakapalli,,,,,,,,,,264.0,16.0,276.0,291.0,24.0,239.0
Andhra Pradesh,Anantapur,455.0,113.0,471.0,370.0,114.0,241.0,422.0,105.0,394.0,,,,,,
Andhra Pradesh,Anantapuramu,,,,,,,,,,405.0,51.0,343.0,357.0,44.0,363.0
Andhra Pradesh,Annamayya,,,,,,,,,,275.0,37.0,362.0,210.0,45.0,235.0
Andhra Pradesh,Bapatla,,,,,,,,,,391.0,42.0,447.0,366.0,74.0,494.0
Andhra Pradesh,Chittoor,411.0,70.0,212.0,368.0,60.0,205.0,401.0,68.0,274.0,374.0,30.0,357.0,428.0,47.0,382.0
Andhra Pradesh,Cuddapah,520.0,88.0,481.0,427.0,65.0,274.0,338.0,57.0,337.0,,,,,,
Andhra Pradesh,Dr BR Ambedkar Konaseema,,,,,,,,,,416.0,17.0,386.0,362.0,24.0,344.0
Andhra Pradesh,East Godavari,960.0,69.0,601.0,763.0,62.0,471.0,794.0,56.0,476.0,699.0,25.0,672.0,682.0,24.0,569.0
Andhra Pradesh,Eluru,,,,,,,,,,659.0,32.0,653.0,524.0,37.0,590.0
Andhra Pradesh,Guntakal Railway,667.0,11.0,1.0,648.0,3.0,1.0,692.0,2.0,1.0,581.0,1.0,1.0,546.0,2.0,0.0
Andhra Pradesh,Guntur,659.0,100.0,558.0,522.0,82.0,748.0,686.0,68.0,869.0,1117.0,37.0,1054.0,1098.0,50.0,901.0
Andhra Pradesh,Guntur Urban,794.0,32.0,335.0,680.0,30.0,567.0,641.0,32.0,524.0,,,,,,
Andhra Pradesh,Kakinada,,,,,,,,,,665.0,34.0,416.0,566.0,23.0,329.0
Andhra Pradesh,Krishna,437.0,35.0,620.0,390.0,41.0,702.0,427.0,50.0,791.0,457.0,29.0,766.0,543.0,33.0,596.0
Andhra Pradesh,Kurnool,489.0,93.0,313.0,386.0,88.0,178.0,398.0,74.0,199.0,308.0,41.0,347.0,244.0,38.0,356.0
